2340,1030,2454,1055,2486,1190,2352,1154,CỬA
2485,1084,2658,1122,2673,1238,2498,1192,HÀNG
2678,1148,2853,1179,2878,1304,2684,1249,NHÔM
2878,1205,3032,1243,3047,1354,2891,1310,KÍNH
3040,1251,3186,1285,3199,1401,3059,1365,VĨNH
3205,1319,3363,1357,3369,1447,3220,1403,LONG
2353,1188,2492,1207,2500,1344,2369,1315,NHẬN
2502,1236,2572,1253,2593,1354,2509,1336,GIA
2580,1243,2701,1281,2711,1388,2591,1361,CÔNG
2705,1276,2791,1289,2808,1411,2718,1393,CÁC
2802,1319,2899,1342,2909,1456,2812,1426,LOẠI
2901,1329,3017,1357,3034,1477,2909,1441,NHÔM
3023,1367,3114,1392,3129,1506,3032,1479,KÍNH
3120,1401,3184,1411,3203,1538,3129,1526,NỘI
3192,1433,3312,1466,3327,1570,3203,1546,NGOẠI
3315,1447,3397,1456,3412,1582,3325,1563,THẤT
2367,1333,2458,1342,2488,1487,2382,1464,CỬA
2475,1373,2620,1399,2623,1526,2486,1487,NHÔM
2623,1393,2751,1416,2753,1584,2633,1538,CUỐN,
2760,1433,2851,1443,2863,1591,2764,1563,CỬA
2859,1464,2973,1483,2969,1622,2859,1591,THUỶ
2969,1517,3059,1532,3061,1656,2969,1625,LỰC
2384,1521,2488,1532,2498,1660,2403,1641,CÁC
2492,1544,2618,1574,2631,1690,2504,1661,CÔNG
2625,1578,2749,1601,2764,1726,2631,1690,TRÌNH
2755,1623,2905,1658,2916,1760,2772,1724,TRONG
2909,1646,2960,1650,2985,1774,2924,1760,VÀ
2969,1675,3099,1713,3112,1821,2985,1791,NGOẠI
3097,1675,3199,1694,3215,1829,3112,1804,TỈNH
2384,1707,2462,1722,2483,1793,2391,1777,ĐỊA
2469,1715,2559,1720,2564,1802,2477,1783,CHỈ:
2568,1745,2614,1758,2620,1814,2566,1798,43
2618,1741,2711,1753,2711,1833,2623,1815,PHỐ
2715,1779,2853,1815,2857,1867,2717,1833,LƯƠNG
2855,1806,2941,1821,2947,1888,2867,1871,YÊN
3104,1853,3197,1865,3201,1947,3110,1928,ĐIỆN
3201,1884,3319,1909,3327,1975,3207,1950,THOẠI:
3323,1912,3456,1937,3460,1988,3327,1964,9873229
4201,3142,4522,3144,4560,3388,4224,3384,CHUYÊN
4536,3196,4606,3192,4606,3393,4568,3389,N
416,3331,551,3315,574,3426,422,3441,SỬA
580,3327,692,3312,707,3433,582,3424,NIÀ
414,3306,568,3289,570,3317,414,3334,###
568,3289,658,3296,660,3327,568,3323,###
519,3435,682,3418,686,3445,559,3454,###
